"marca";"nome";"preco_antigo_reais";"preco_antigo_centavos";"preco_novo_reais";"preco_novo_centavos";"nota";"qtde_avaliacoes";"_fonte";"_data_coleta";"preco_antigo";"preco_novo"
"OLYMPIKUS";"Olympikus Corre 3 Masculino Adultos";0.0;0.0;499.0;0.0;4.5;129;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;499.0
"ADAPTION";"Adaption Limited Masculino Adultos";0.0;0.0;72.0;0.0;4.4;472;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;72.0
"OLYMPIKUS";"Olympikus Only 2 Masculino Adultos";199.0;99.0;136.0;99.0;4.7;2042;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";199.99;136.99
"";"Tênis Masculino Corrida Caminhada Academia Macio Barato Top";51.0;90.0;43.0;90.0;4.4;3519;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";51.9;43.9
"OLYMPIKUS";"Tênis Olympikus Corre Grafeno 2 Masculino";0.0;0.0;666.0;0.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;666.0
"OLYMPIKUS";"Olympikus Treino Dynamic Masculino Adultos";279.0;99.0;216.0;99.0;4.8;5844;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";279.99;216.99
"OLYMPIKUS";"Olympikus Corre 3 3 Sem gênero Adultos";0.0;0.0;499.0;0.0;4.9;282;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;499.0
"BF SHOES";"Tênis Branco Lançamento Original Confortável";98.0;62.0;78.0;62.0;4.6;7245;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";98.62;78.62
"";"Tenis Feminino Casual Nyc Shoes Masculino Moda Adulto";109.0;90.0;75.0;90.0;4.5;4085;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";109.9;75.9
"OLYMPIKUS";"Tênis Masculino Esportivo Olympikus Soma Original";219.0;90.0;173.0;90.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";219.9;173.9
"OLYMPIKUS";"Tênis Olympikus Challenger 5 Branco E Cinza - Masculino";299.0;99.0;263.0;99.0;5.0;2;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";299.99;263.99
"";"Tênis Bolsonaro : Liberdade Style Super Confortável ";0.0;0.0;169.0;0.0;4.8;115;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;169.0
"OLYMPIKUS";"Olympikus Diffuse 5 Masculino Adultos";309.0;99.0;232.0;99.0;4.8;337;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";309.99;232.99
"OLYMPIKUS";"Tênis Running Masculino Olympikus Original Pride 3";493.0;99.0;390.0;99.0;0.0;0;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";493.99;390.99
"FILA";"Fila Racer T2 Masculino Adultos";599.0;90.0;365.0;90.0;4.9;97;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";599.9;365.9
"";"Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve";0.0;0.0;199.0;0.0;4.6;145;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;199.0
"";"Tenis Masculino Academia Corrida Wave Force Promoção Barato";75.0;99.0;72.0;99.0;4.2;369;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";75.99;72.99
"";"Tenis Olimp Esportivo Masculino Feminino Leve E Macio";0.0;0.0;78.0;0.0;4.1;5929;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;78.0
"UNDER ARMOUR";"Tênis Masculino E Feminino Tribase Reps Under Armour Novo";449.0;99.0;368.0;99.0;4.6;17;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";449.99;368.99
"";"Tenis Olimp Esportivo Masculino Feminino Leve E Macio";0.0;0.0;78.0;0.0;4.1;5929;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;78.0
"OLYMPIKUS";"Tênis Olimpikus Olympikus Flash Confortavel Envio Imediato ";0.0;0.0;95.0;0.0;4.3;238;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;95.0
"SKECHERS";"Tênis Skechers Go Walk Max Modula Masculino Casual";0.0;0.0;199.0;0.0;4.9;17;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";0.0;199.0
"OLYMPIKUS";"Tênis Olympikus Index 3 Masculino Original";189.0;0.0;179.0;0.0;4.8;107;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";189.0;179.0
"OLYMPIKUS";"Olympikus Casual Index 3 Masculino Adultos 43611218_1-004";189.0;99.0;149.0;99.0;4.8;1138;"https://lista.mercadolivre.com.br/tenis-corrida-masculino";"2024-06-10 23:19:47";189.99;149.99
